airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price,delai_reservation,duree_vol,prix_par_heure,est_direct
Air_India,AI-479,Delhi,Night,one,Afternoon,Mumbai,Economy,16.5,6,11900,Dernière minute,Long ( 8-20h ),721.2121212121212,0
Air_India,AI-451,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.92,6,11940,Dernière minute,Très long ( > 20h ),460.6481481481481,0
Vistara,UK-879,Delhi,Evening,one,Night,Mumbai,Economy,5.33,7,10260,Dernière minute,Moyen ( 3-8h ),1924.953095684803,0
Vistara,UK-879,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,7,10260,Dernière minute,Très long ( > 20h ),492.55880940950556,0
Indigo,6E-2193,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,7,10349,Dernière minute,Moyen ( 3-8h ),2702.088772845953,0
Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,7,10349,Dernière minute,Long ( 8-20h ),1242.3769507803122,0
Indigo,6E-607,Delhi,Night,one,Morning,Mumbai,Economy,10.17,7,10349,Dernière minute,Long ( 8-20h ),1017.6007866273353,0
Vistara,UK-683,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.58,7,10723,Dernière minute,Très long ( > 20h ),419.1946833463644,0
Air_India,AI-9843,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,7,10523,Dernière minute,Long ( 8-20h ),1079.2820512820513,0
Air_India,AI-471,Delhi,Afternoon,one,Evening,Mumbai,Economy,4.58,7,10680,Dernière minute,Moyen ( 3-8h ),2331.877729257642,0
Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.42,7,10680,Dernière minute,Moyen ( 3-8h ),1663.551401869159,0
Air_India,AI-473,Delhi,Evening,one,Evening,Mumbai,Economy,22.75,7,10680,Dernière minute,Très long ( > 20h ),469.45054945054943,0
Air_India,AI-415,Delhi,Evening,one,Evening,Mumbai,Economy,25.08,7,10921,Dernière minute,Très long ( > 20h ),435.4465709728868,0
GO_FIRST,G8-2401,Delhi,Morning,one,Evening,Mumbai,Economy,8.0,7,11179,Dernière minute,Moyen ( 3-8h ),1397.375,0
GO_FIRST,G8-1010,Delhi,Afternoon,one,Evening,Mumbai,Economy,5.83,7,11295,Dernière minute,Moyen ( 3-8h ),1937.392795883362,0
Air_India,AI-811,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.58,7,11310,Dernière minute,Très long ( > 20h ),549.5626822157435,0
Air_India,AI-485,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.92,7,11520,Dernière minute,Long ( 8-20h ),1054.945054945055,0
Air_India,AI-451,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.92,7,11520,Dernière minute,Très long ( > 20h ),444.4444444444444,0
Indigo,6E-181,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.83,7,11573,Dernière minute,Moyen ( 3-8h ),2396.0662525879916,0
Air_India,AI-411,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.0,7,11730,Dernière minute,Moyen ( 3-8h ),1466.25,0
Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.83,7,11900,Dernière minute,Long ( 8-20h ),1347.6783691959229,0
Indigo,6E-2373,Delhi,Afternoon,one,Evening,Mumbai,Economy,6.0,8,10003,Achat court terme,Moyen ( 3-8h ),1667.1666666666667,0
Air_India,AI-471,Delhi,Afternoon,one,Evening,Mumbai,Economy,4.58,8,10050,Achat court terme,Moyen ( 3-8h ),2194.3231441048033,0
SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,8,10260,Achat court terme,Moyen ( 3-8h ),2414.1176470588234,0
Indigo,6E-5088,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.25,8,10523,Achat court terme,Long ( 8-20h ),1026.6341463414635,0
Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.42,8,10680,Achat court terme,Moyen ( 3-8h ),1663.551401869159,0
Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,8.0,8,10733,Achat court terme,Moyen ( 3-8h ),1341.625,0
Indigo,6E-2102,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,8,10838,Achat court terme,Moyen ( 3-8h ),2133.464566929134,0
GO_FIRST,G8-2401,Delhi,Morning,one,Evening,Mumbai,Economy,8.0,8,11179,Achat court terme,Moyen ( 3-8h ),1397.375,0
GO_FIRST,G8-357,Delhi,Early_Morning,two_or_more,Evening,Mumbai,Economy,12.08,8,11295,Achat court terme,Long ( 8-20h ),935.0165562913908,0
Air_India,AI-411,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.0,8,11310,Achat court terme,Moyen ( 3-8h ),1413.75,0
Air_India,AI-473,Delhi,Evening,one,Evening,Mumbai,Economy,22.75,8,11310,Achat court terme,Très long ( > 20h ),497.14285714285717,0
Vistara,UK-637,Delhi,Evening,one,Night,Mumbai,Economy,4.42,8,11835,Achat court terme,Moyen ( 3-8h ),2677.6018099547514,0
AirAsia,I5-721,Delhi,Night,one,Morning,Mumbai,Economy,14.0,8,11520,Achat court terme,Long ( 8-20h ),822.8571428571429,0
Vistara,UK-706,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,8,11888,Achat court terme,Moyen ( 3-8h ),1501.010101010101,0
Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.83,8,11900,Achat court terme,Long ( 8-20h ),1347.6783691959229,0
Indigo,6E-181,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.83,8,11993,Achat court terme,Moyen ( 3-8h ),2483.022774327122,0
Vistara,UK-899,Delhi,Afternoon,one,Night,Mumbai,Economy,8.25,9,10260,Achat court terme,Long ( 8-20h ),1243.6363636363637,0
Vistara,UK-871,Delhi,Night,one,Afternoon,Mumbai,Economy,17.92,9,10260,Achat court terme,Long ( 8-20h ),572.5446428571428,0
Vistara,UK-899,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.25,9,10260,Achat court terme,Long ( 8-20h ),532.987012987013,0
Vistara,UK-879,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,9,10365,Achat court terme,Très long ( > 20h ),497.5996159385502,0
Air_India,AI-483,Delhi,Evening,one,Evening,Mumbai,Economy,23.92,9,10220,Achat court terme,Très long ( > 20h ),427.257525083612,0
Vistara,UK-637,Delhi,Evening,one,Night,Mumbai,Economy,4.42,9,10575,Achat court terme,Moyen ( 3-8h ),2392.5339366515836,0
Vistara,UK-859,Delhi,Morning,one,Night,Mumbai,Economy,12.58,9,10575,Achat court terme,Long ( 8-20h ),840.6200317965024,0
Vistara,UK-859,Delhi,Morning,one,Morning,Mumbai,Economy,23.58,9,10575,Achat court terme,Très long ( > 20h ),448.47328244274814,0
SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,9,10233,Achat court terme,Moyen ( 3-8h ),2274.0,0
SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,9,10233,Achat court terme,Long ( 8-20h ),671.016393442623,0
Vistara,UK-706,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,9,10628,Achat court terme,Moyen ( 3-8h ),1341.919191919192,0
Vistara,UK-899,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,23.75,9,10680,Achat court terme,Très long ( > 20h ),449.6842105263158,0
Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,4.42,9,10349,Achat court terme,Moyen ( 3-8h ),2341.402714932127,0
Indigo,6E-2373,Delhi,Afternoon,one,Evening,Mumbai,Economy,6.0,9,10721,Achat court terme,Moyen ( 3-8h ),1786.8333333333333,0
Vistara,UK-637,Delhi,Evening,one,Morning,Mumbai,Economy,17.83,9,11100,Achat court terme,Long ( 8-20h ),622.546270330903,0
Vistara,UK-706,Delhi,Afternoon,one,Morning,Mumbai,Economy,21.33,9,11153,Achat court terme,Très long ( > 20h ),522.878574777309,0
Indigo,6E-2193,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,9,10838,Achat court terme,Moyen ( 3-8h ),2829.7650130548304,0
Indigo,6E-152,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,9,10838,Achat court terme,Moyen ( 3-8h ),1413.0378096479792,0
Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,9,10838,Achat court terme,Long ( 8-20h ),1301.0804321728692,0
Air_India,AI-531,Delhi,Evening,one,Night,Mumbai,Economy,24.75,9,10890,Achat court terme,Très long ( > 20h ),440.0,0
Vistara,UK-683,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.58,9,11406,Achat court terme,Très long ( > 20h ),445.8952306489445,0
Indigo,6E-369,Delhi,Night,one,Morning,Mumbai,Economy,10.42,9,11153,Achat court terme,Long ( 8-20h ),1070.345489443378,0
GO_FIRST,G8-2401,Delhi,Morning,one,Evening,Mumbai,Economy,8.0,9,11179,Achat court terme,Moyen ( 3-8h ),1397.375,0
GO_FIRST,G8-357,Delhi,Early_Morning,two_or_more,Evening,Mumbai,Economy,12.08,9,11295,Achat court terme,Long ( 8-20h ),935.0165562913908,0
Air_India,AI-411,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.0,9,11310,Achat court terme,Moyen ( 3-8h ),1413.75,0
Air_India,AI-811,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.58,9,11310,Achat court terme,Très long ( > 20h ),549.5626822157435,0
Air_India,AI-9809,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.83,9,11310,Achat court terme,Très long ( > 20h ),437.86295005807204,0
Indigo,6E-926,Delhi,Evening,one,Night,Mumbai,Economy,4.92,9,11326,Achat court terme,Moyen ( 3-8h ),2302.032520325203,0
GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,9,11703,Achat court terme,Moyen ( 3-8h ),1652.9661016949153,0
Vistara,UK-829,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.0,10,10260,Achat court terme,Moyen ( 3-8h ),1465.7142857142858,0
Vistara,UK-683,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.58,10,10303,Achat court terme,Très long ( > 20h ),402.7756059421423,0
Vistara,UK-879,Delhi,Evening,one,Night,Mumbai,Economy,5.33,10,10575,Achat court terme,Moyen ( 3-8h ),1984.0525328330207,0
Vistara,UK-899,Delhi,Afternoon,one,Night,Mumbai,Economy,8.25,10,10575,Achat court terme,Long ( 8-20h ),1281.8181818181818,0
Vistara,UK-871,Delhi,Night,one,Morning,Mumbai,Economy,13.42,10,10575,Achat court terme,Long ( 8-20h ),788.0029806259314,0
Vistara,UK-879,Delhi,Evening,one,Morning,Mumbai,Economy,16.33,10,10575,Achat court terme,Long ( 8-20h ),647.5811390079609,0
Vistara,UK-871,Delhi,Night,one,Afternoon,Mumbai,Economy,17.92,10,10575,Achat court terme,Long ( 8-20h ),590.1227678571428,0
Vistara,UK-899,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.25,10,10575,Achat court terme,Long ( 8-20h ),549.3506493506494,0
Vistara,UK-879,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,10,10575,Achat court terme,Très long ( > 20h ),507.6812289966395,0
Vistara,UK-899,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,23.75,10,10575,Achat court terme,Très long ( > 20h ),445.2631578947368,0
Vistara,UK-871,Delhi,Night,one,Night,Mumbai,Economy,26.42,10,10575,Achat court terme,Très long ( > 20h ),400.2649507948524,0
Indigo,6E-2092,Delhi,Evening,one,Night,Mumbai,Economy,5.33,10,10260,Achat court terme,Moyen ( 3-8h ),1924.953095684803,0
GO_FIRST,G8-719,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.25,10,10339,Achat court terme,Long ( 8-20h ),725.5438596491229,0
Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,4.42,10,10349,Achat court terme,Moyen ( 3-8h ),2341.402714932127,0
Indigo,6E-369,Delhi,Night,one,Morning,Mumbai,Economy,10.42,10,10523,Achat court terme,Long ( 8-20h ),1009.8848368522073,0
GO_FIRST,G8-1404,Delhi,Morning,one,Afternoon,Mumbai,Economy,5.08,10,10549,Achat court terme,Moyen ( 3-8h ),2076.5748031496064,0
SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,10,10651,Achat court terme,Long ( 8-20h ),698.4262295081967,0
Air_India,AI-473,Delhi,Evening,one,Evening,Mumbai,Economy,22.75,10,10680,Achat court terme,Très long ( > 20h ),469.45054945054943,0
Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,10,10838,Achat court terme,Long ( 8-20h ),1301.0804321728692,0
Air_India,AI-475,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,24.58,10,10933,Achat court terme,Très long ( > 20h ),444.7925142392189,0
SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,10,11047,Achat court terme,Très long ( > 20h ),429.00970873786406,0
GO_FIRST,G8-2401,Delhi,Morning,one,Night,Mumbai,Economy,13.0,10,11179,Achat court terme,Long ( 8-20h ),859.9230769230769,0
Air_India,AI-411,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.0,10,11310,Achat court terme,Moyen ( 3-8h ),1413.75,0
Air_India,AI-811,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.58,10,11310,Achat court terme,Très long ( > 20h ),549.5626822157435,0
Air_India,AI-9809,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.83,10,11310,Achat court terme,Très long ( > 20h ),437.86295005807204,0
Air_India,AI-431,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.17,10,11310,Achat court terme,Très long ( > 20h ),432.1742453190676,0
Indigo,6E-5063,Delhi,Afternoon,one,Night,Mumbai,Economy,5.42,10,11326,Achat court terme,Moyen ( 3-8h ),2089.667896678967,0
SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,10,11624,Achat court terme,Moyen ( 3-8h ),2735.0588235294117,0
Air_India,AI-483,Delhi,Evening,one,Evening,Mumbai,Economy,23.92,10,11690,Achat court terme,Très long ( > 20h ),488.71237458193974,0
Air_India,AI-479,Delhi,Night,one,Afternoon,Mumbai,Economy,16.5,10,11900,Achat court terme,Long ( 8-20h ),721.2121212121212,0
SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,10,11911,Achat court terme,Moyen ( 3-8h ),2646.8888888888887,0
Air_India,AI-839,Delhi,Night,one,Night,Bangalore,Economy,24.33,5,10208,Dernière minute,Très long ( > 20h ),419.5643238799836,0
Vistara,UK-879,Delhi,Evening,one,Morning,Bangalore,Economy,15.17,5,10575,Dernière minute,Long ( 8-20h ),697.0995385629532,0
Vistara,UK-879,Delhi,Evening,one,Evening,Bangalore,Economy,25.83,5,10575,Dernière minute,Très long ( > 20h ),409.40766550522653,0
Vistara,UK-993,Delhi,Afternoon,one,Evening,Bangalore,Economy,4.92,5,10680,Dernière minute,Moyen ( 3-8h ),2170.7317073170734,0
Vistara,UK-951,Delhi,Afternoon,one,Evening,Bangalore,Economy,4.92,5,10680,Dernière minute,Moyen ( 3-8h ),2170.7317073170734,0
Vistara,UK-975,Delhi,Early_Morning,one,Morning,Bangalore,Economy,5.0,5,10680,Dernière minute,Moyen ( 3-8h ),2136.0,0
Vistara,UK-955,Delhi,Evening,one,Night,Bangalore,Economy,5.08,5,10680,Dernière minute,Moyen ( 3-8h ),2102.3622047244094,0
Vistara,UK-933,Delhi,Afternoon,one,Night,Bangalore,Economy,5.42,5,10680,Dernière minute,Moyen ( 3-8h ),1970.479704797048,0
Vistara,UK-945,Delhi,Morning,one,Evening,Bangalore,Economy,6.08,5,10680,Dernière minute,Moyen ( 3-8h ),1756.578947368421,0
Vistara,UK-941,Delhi,Evening,one,Night,Bangalore,Economy,6.08,5,10680,Dernière minute,Moyen ( 3-8h ),1756.578947368421,0
Vistara,UK-993,Delhi,Afternoon,one,Evening,Bangalore,Economy,6.42,5,10680,Dernière minute,Moyen ( 3-8h ),1663.551401869159,0
Vistara,UK-951,Delhi,Afternoon,one,Night,Bangalore,Economy,6.58,5,10680,Dernière minute,Moyen ( 3-8h ),1623.1003039513678,0
Vistara,UK-933,Delhi,Afternoon,one,Night,Bangalore,Economy,7.33,5,10680,Dernière minute,Moyen ( 3-8h ),1457.025920873124,0
Vistara,UK-995,Delhi,Morning,one,Evening,Bangalore,Economy,7.42,5,10680,Dernière minute,Moyen ( 3-8h ),1439.3530997304583,0
Vistara,UK-945,Delhi,Morning,one,Evening,Bangalore,Economy,7.58,5,10680,Dernière minute,Moyen ( 3-8h ),1408.9709762532982,0
Vistara,UK-993,Delhi,Afternoon,one,Night,Bangalore,Economy,8.08,5,10680,Dernière minute,Long ( 8-20h ),1321.7821782178219,0
Vistara,UK-927,Delhi,Morning,one,Evening,Bangalore,Economy,8.25,5,10680,Dernière minute,Long ( 8-20h ),1294.5454545454545,0
Vistara,UK-951,Delhi,Afternoon,one,Night,Bangalore,Economy,8.5,5,10680,Dernière minute,Long ( 8-20h ),1256.4705882352941,0
Vistara,UK-963,Delhi,Morning,one,Evening,Bangalore,Economy,8.92,5,10680,Dernière minute,Long ( 8-20h ),1197.3094170403588,0
Vistara,UK-995,Delhi,Morning,one,Evening,Bangalore,Economy,8.92,5,10680,Dernière minute,Long ( 8-20h ),1197.3094170403588,0
Vistara,UK-945,Delhi,Morning,one,Night,Bangalore,Economy,9.25,5,10680,Dernière minute,Long ( 8-20h ),1154.5945945945946,0
Vistara,UK-927,Delhi,Morning,one,Evening,Bangalore,Economy,9.75,5,10680,Dernière minute,Long ( 8-20h ),1095.3846153846155,0
Vistara,UK-993,Delhi,Afternoon,one,Night,Bangalore,Economy,10.0,5,10680,Dernière minute,Long ( 8-20h ),1068.0,0
Vistara,UK-981,Delhi,Night,one,Early_Morning,Bangalore,Economy,10.0,5,10680,Dernière minute,Long ( 8-20h ),1068.0,0
Vistara,UK-943,Delhi,Early_Morning,one,Evening,Bangalore,Economy,10.25,5,10680,Dernière minute,Long ( 8-20h ),1041.9512195121952,0
Vistara,UK-963,Delhi,Morning,one,Evening,Bangalore,Economy,10.42,5,10680,Dernière minute,Long ( 8-20h ),1024.9520153550864,0
Vistara,UK-995,Delhi,Morning,one,Night,Bangalore,Economy,10.58,5,10680,Dernière minute,Long ( 8-20h ),1009.4517958412098,0
Vistara,UK-981,Delhi,Night,one,Morning,Bangalore,Economy,11.0,5,10680,Dernière minute,Long ( 8-20h ),970.9090909090909,0
Vistara,UK-945,Delhi,Morning,one,Night,Bangalore,Economy,11.17,5,10680,Dernière minute,Long ( 8-20h ),956.1324977618622,0
Vistara,UK-953,Delhi,Night,one,Early_Morning,Bangalore,Economy,11.17,5,10680,Dernière minute,Long ( 8-20h ),956.1324977618622,0
Vistara,UK-927,Delhi,Morning,one,Night,Bangalore,Economy,11.42,5,10680,Dernière minute,Long ( 8-20h ),935.2014010507881,0
Vistara,UK-943,Delhi,Early_Morning,one,Evening,Bangalore,Economy,11.75,5,10680,Dernière minute,Long ( 8-20h ),908.936170212766,0
Vistara,UK-975,Delhi,Early_Morning,one,Evening,Bangalore,Economy,12.0,5,10680,Dernière minute,Long ( 8-20h ),890.0,0
Vistara,UK-985,Delhi,Evening,one,Early_Morning,Bangalore,Economy,12.0,5,10680,Dernière minute,Long ( 8-20h ),890.0,0
Vistara,UK-963,Delhi,Morning,one,Night,Bangalore,Economy,12.08,5,10680,Dernière minute,Long ( 8-20h ),884.1059602649007,0
Vistara,UK-953,Delhi,Night,one,Morning,Bangalore,Economy,12.17,5,10680,Dernière minute,Long ( 8-20h ),877.5677896466722,0
Vistara,UK-995,Delhi,Morning,one,Night,Bangalore,Economy,12.5,5,10680,Dernière minute,Long ( 8-20h ),854.4,0
Vistara,UK-977,Delhi,Evening,one,Early_Morning,Bangalore,Economy,12.83,5,10680,Dernière minute,Long ( 8-20h ),832.4240062353858,0
Vistara,UK-981,Delhi,Night,one,Morning,Bangalore,Economy,12.92,5,10680,Dernière minute,Long ( 8-20h ),826.625386996904,0
Vistara,UK-985,Delhi,Evening,one,Morning,Bangalore,Economy,13.0,5,10680,Dernière minute,Long ( 8-20h ),821.5384615384615,0
Vistara,UK-927,Delhi,Morning,one,Night,Bangalore,Economy,13.33,5,10680,Dernière minute,Long ( 8-20h ),801.2003000750187,0
Indigo,6E-2769,Delhi,Morning,one,Afternoon,Bangalore,Economy,6.25,5,10523,Dernière minute,Moyen ( 3-8h ),1683.68,0
Indigo,6E-186,Delhi,Afternoon,one,Night,Bangalore,Economy,7.42,5,10523,Dernière minute,Moyen ( 3-8h ),1418.1940700808625,0
Indigo,6E-2471,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,10.83,5,10523,Dernière minute,Long ( 8-20h ),971.6528162511541,0
Indigo,6E-2769,Delhi,Morning,one,Night,Bangalore,Economy,11.42,5,10523,Dernière minute,Long ( 8-20h ),921.4535901926445,0
Air_India,AI-678,Delhi,Morning,one,Evening,Bangalore,Economy,9.5,5,10680,Dernière minute,Long ( 8-20h ),1124.2105263157894,0
Air_India,AI-665,Delhi,Early_Morning,one,Evening,Bangalore,Economy,10.5,5,10680,Dernière minute,Long ( 8-20h ),1017.1428571428571,0
Air_India,AI-887,Delhi,Early_Morning,one,Evening,Bangalore,Economy,11.5,5,10680,Dernière minute,Long ( 8-20h ),928.695652173913,0
Air_India,AI-805,Delhi,Evening,one,Morning,Bangalore,Economy,15.17,5,10680,Dernière minute,Long ( 8-20h ),704.0210942649967,0
Air_India,AI-624,Delhi,Evening,one,Morning,Bangalore,Economy,16.17,5,10680,Dernière minute,Long ( 8-20h ),660.482374768089,0
Air_India,AI-868,Delhi,Evening,one,Morning,Bangalore,Economy,17.17,5,10680,Dernière minute,Long ( 8-20h ),622.0151426907396,0
Air_India,AI-441,Delhi,Evening,one,Morning,Bangalore,Economy,17.33,5,10680,Dernière minute,Long ( 8-20h ),616.2723600692442,0
Air_India,AI-805,Delhi,Evening,one,Evening,Bangalore,Economy,22.5,5,10680,Dernière minute,Très long ( > 20h ),474.6666666666667,0
Air_India,AI-624,Delhi,Evening,one,Evening,Bangalore,Economy,23.5,5,10680,Dernière minute,Très long ( > 20h ),454.468085106383,0
Air_India,AI-868,Delhi,Evening,one,Evening,Bangalore,Economy,24.5,5,10680,Dernière minute,Très long ( > 20h ),435.9183673469388,0
